variable,type,source,non_null,missing_pct,example,description
job_id,int64,MET Employability API,6199,0.0,685436,Unique posting identifier assigned by the MET API; used to deduplicate
posted_at,str,MET Employability API,6199,0.0,2026-08-20 00:00:00+00:00,Date the posting was published
expires_at,str,MET Employability API,422,93.2,2026-08-24 23:59:59.997000+00:00,Date the posting expires; cleared when earlier than posted_at
title,str,MET Employability API,6199,0.0,Financial Analyst (m/w/d),Job title as published by the employer
normalized_title,str,derived in this project,6199,0.0,financial analyst (m/w/d),"Title lowercased and trimmed, for grouping"
company_name,str,MET Employability API,6199,0.0,Univativ GmbH,Employer name as published on the posting
is_staffing_agency,bool,MET Employability API,6199,0.0,False,True when the posting comes from a staffing agency
staffing_confidence,float64,MET Employability API,6199,0.0,0.0,API confidence score that the poster is a staffing agency
location_text,str,MET Employability API,6078,2.0,"Baden Württemberg, Deutschland",Free-text location as published
city,str,MET Employability API,4958,20.0,Baden Württemberg,City parsed from the location
city_code,float64,MET Employability API,0,100.0,,Internal city identifier
state,str,MET Employability API,5266,15.1,Deutschland,State name
state_code,str,MET Employability API,1761,71.6,CO,Two-letter US state code; empty for non-US postings
zip_code,float64,MET Employability API,39,99.4,95131.0,Five-digit ZIP code; 00000 treated as missing
msa_code,float64,MET Employability API,281,95.5,35620.0,Metropolitan statistical area code
msa_name,str,MET Employability API,281,95.5,"New York-Newark-Jersey City, NY-NJ",Metropolitan statistical area name
latitude,float64,MET Employability API,59,99.0,38.99115,Latitude; cleared when outside US bounds
longitude,float64,MET Employability API,59,99.0,-104.85452,Longitude; cleared when outside US bounds
remote_status,str,MET Employability API,6199,0.0,unknown,"remote, hybrid, onsite or unknown"
employment_type,str,MET Employability API,5017,19.1,Contract,"Full-time, part-time, contract and similar"
salary_text,str,MET Employability API,4106,33.8,"{'min': '', 'max': '', 'currency': '', 'period': '', 'summar",Raw salary block as returned by the API
annual_salary_min,float64,MET Employability API,1206,80.5,63000.0,Lower bound of the annual salary range in USD
annual_salary_max,float64,MET Employability API,1206,80.5,90000.0,Upper bound of the annual salary range in USD
hourly_salary_min,float64,MET Employability API,258,95.8,15.0,Lower bound of the hourly rate in USD
hourly_salary_max,float64,MET Employability API,258,95.8,20.0,Upper bound of the hourly rate in USD
soc_code,str,MET Employability API,6092,1.7,13-2051*,Standard Occupational Classification code
soc_name,str,MET Employability API,6092,1.7,Financial and Investment Analysts*,Standard Occupational Classification title
occupation_family,str,MET Employability API,6092,1.7,Business and Financial Operations Occupations,Broad occupational family
naics_code,int64,MET Employability API,6199,0.0,523000,Industry code assigned by the data provider (aggregated form)
naics_name,str,MET Employability API,6199,0.0,"Securities, Commodity Contracts, and Other Financial Investm",Industry label
onet_code,str,MET Employability API,6096,1.7,13-2051.00,O*NET occupation code
onet_name,str,MET Employability API,6096,1.7,Financial and Investment Analysts,O*NET occupation title
cip_code,float64,MET Employability API,261,95.8,52.0,Classification of Instructional Programs code
cip_name,str,MET Employability API,261,95.8,Management Science,Instructional program title
program_matches,str,MET Employability API,6199,0.0,"[{'program_name': 'Financial Management', 'score': 1.0, 'mat",MET degree programmes matched to the posting
search_relevance_score,int64,MET Employability API,6199,0.0,10,API relevance score for the query used
search_rank_reason,str,MET Employability API,6199,0.0,Recently posted,API explanation of the relevance score
apply_url,str,MET Employability API,5128,17.3,https://www.arbeitsagentur.de/jobsuche/jobdetail/19924-95902,Link to the employer application page
skills_text,str,derived in this project,5742,7.4,Administrative Functions; Business Operations,Skill names flattened to a semicolon-separated string
skills_count,int64,derived in this project,6199,0.0,0,Number of skills attached to the posting
experience_years_raw,float64,derived in this project,4093,34.0,2.0,Years of experience parsed from the description (approximate)
education_level_raw,str,derived in this project,3675,40.7,Bachelor,Highest degree keyword found in the description (approximate)
organization_name,str,derived in this project,3371,45.6,UMass Amherst Foundation,Employer name from the linked organization record
